langsrc,langdst,comment
Membres,MembresMembres,
Profil,ProfilProfil,
Catalogue,CatalogueCatalogue,
Changer mot de passe,Changer mot de passeChanger mot de passe,
Gestion,GestionGestion,
Clients,ClientsClients,
Erp,ErpErp,
Personnels,PersonnelsPersonnels,
Contenus,ContenusContenus,
Supports,SupportsSupports,
Produits,ProduitsProduits,
Fiches Techniques,Fiches TechniquesFiches Techniques,
Recherche,RechercheRecherche,
Stock,StockStock,
Configuration,ConfigurationConfiguration,
Système,SystèmeSystème,
Droits,DroitsDroits,
Styles,StylesStyles,
Journaux,JournauxJournaux,
4D View,4D View4D View,
Database,DatabaseDatabase,
4D Gen,4D Gen4D Gen,
Import,ImportImport,
Langues,Langues,
Export,ExportExport,
titre1,titre1titre1,
numero_support,numero_supportnumero_support,
code_type_support,code_type_supportcode_type_support,
code_utilisation_support,code_utilisation_supportcode_utilisation_support,
etat_courant,etat_courantetat_courant,
format_image_video,format_image_videoformat_image_video,
code_client,code_clientcode_client,
Titre1,Titre1Titre1,
Numéro_support,Numéro_supportNuméro_support,
Code_type_support,Code_type_supportCode_type_support,
Code_utilisation_support,Code_utilisation_supportCode_utilisation_support,
Etat_courant,Etat_courantEtat_courant,
Format_image_video,Format_image_videoFormat_image_video,
Code_client,Code_clientCode_client,
Type support,Type supportType support,
Utilisation support,Utilisation supportUtilisation support,
Client,ClientClient,
Titre,TitreTitre,
Numero_support,Numero_supportNumero_support,
Titre2,Titre2Titre2,
Titre3,Titre3Titre3,
Standard,StandardStandard,
Date_production,Date_productionDate_production,
Pistes_audios,Pistes_audiosPistes_audios,
Numero_externe,Numero_externeNumero_externe,
Sous_titrage_type,Sous_titrage_typeSous_titrage_type,
Sous_titrage_version,Sous_titrage_versionSous_titrage_version,
Sous_titrage_mode,Sous_titrage_modeSous_titrage_mode,
Support,SupportSupport,
Utilisation_support,Utilisation_supportUtilisation_support,
id,idid,
firstname,firstnamefirstname,
name,namename,
company,companycompany,
email,emailemail,
login,loginlogin,
password,passwordpassword,
adresse,adresseadresse,
cp,cpcp,
ville,villeville,
profil,profilprofil,
gsm,gsmgsm,
status,statusstatus,
information,informationinformation,
Prénom,PrénomPrénom,
Nom,NomNom,
Société,SociétéSociété,
Email,EmailEmail,
Identifiant,IdentifiantIdentifiant,
Mot de passe,Mot de passeMot de passe,
Code Postal,Code PostalCode Postal,
Ville,VilleVille,
Téléphone,TéléphoneTéléphone,
oldpassword,oldpasswordoldpassword,
newpassword1,newpassword1newpassword1,
newpassword2,newpassword2newpassword2,
,,
Ancien mot de passe,,
Nouveau mot de passe,,
Resaisir nouveau mot de passe,,
Nouveau,,
Mot de passe perdu,,
Adresse email,,
Observation,,
initiales,,
code,,
nom,,
prénom,,
service,,
fonction1,,
fonction2,,
fonction3,,
chargé_de_production,,
commercial,,
num_immatriculation_interne1,,
type_contrat,,
historique_salaire,,
abandonné,,
code_groupe,,
Initiales,,
Code,,
prénom,,
Service,,
Fonction1,,
Fonction2,,
Fonction3,,
chargé_de_production,,
Commercial,,
Num_immatriculation_interne1,,
Type_contrat,,
Historique_salaire,,
abandonné,,
Code_groupe,,
Chargé_de_production,,
Abandonné,,
Ordre_affichage,,
Fiche_technique_,,
Date_export_personnel,,
Pseudonyme,,
Num_immatriculation_interne2,,
Num_immatriculation_interne3,,
Code_site,,
Code_badge,,
Ina_id_solaris,,
marque,,
date_etiquette,,
code_etagere,,
numero_bdl,,
fourni_par_client,,
securite_dehors,,
code_salle_stockage,,
film_naturesupport,,
film_typeelementsupport,,
film_categoriesupport,,
numero_lot,,
position_etagere,,
Marque,,
Date_etiquette,,
Code_etagere,,
Numéro_bdl,,
Fourni_par_client,,
Securité_dehors,,
Code_salle_stockage,,
Film_naturesupport,,
Film_typeelementsupport,,
Film_categoriesupport,,
Numéro_lot,,
Position_etagere,,
Numero_bdl,,
Securite_dehors,,
Numero_lot,,
Tsa_export,,
Cnc_timestamp,,
numero_ligne_dt,,
code_contenu,,
statut_bande,,
echantillonage,,
telecinema,,
type_de_code,,
lecteur,,
enregistreur,,
sous_titrage_mode1,,
sous_titrage_type2,,
sous_titrage_mode2,,
sous_titrage_version2,,
tsa_export,,
code_personnel_technicien,,
code_salle,,
Numéro_ligne_dt,,
Code_contenu,,
Statut_bande,,
Echantillonage,,
Telecinema,,
Type_de_code,,
Lecteur,,
Enregistreur,,
Sous_titrage_mode1,,
Sous_titrage_type2,,
Sous_titrage_mode2,,
Sous_titrage_version2,,
Code_personnel_technicien,,
Code_salle,,
Numero_ligne_dt,,
Source_type_video,,
Numero_ficam_debut,,
Numero_ficam_fin,,
Norme,,
Record_type,,
Source_standard,,
Numero_fiche_technique,,
Record_nature,,
Valeurdefaut1,,
Niveau_de_reference,,
Code_personnel_correction,,
Reference,,
Niveau_,,
Nature_origine,,
type_client,,
societe,,
etablissement,,
activite,,
nature,,
compte_comptable,,
zonegeographique,,
situation_paiement,,
mode_reglement,,
nom_commercial,,
sans_facture,,
sans_feuille_travail,,
abandonne,,
date_creation,,
Type_client,,
Societé,,
Etablissement,,
Activite,,
Nature,,
Compte_comptable,,
Zonegeographique,,
Situation_paiement,,
Mode_reglement,,
Nom_commercial,,
Sans_facture,,
Sans_feuille_travail,,
Abandonne,,
Date_creation,,
Societe,,
Client_logistique,,
Code_groupe_protection,,
Ina_id_filiere,,
Système,,
titre1titre1,,
numero_supportnumero_support,,
code_type_supportcode_type_support,,
code_utilisation_supportcode_utilisation_support,,
etat_courantetat_courant,,
format_image_videoformat_image_video,,
code_clientcode_client,,
