langsrc,langdst,comment
HOME,Zuhause,Acl
AUTH_FAIL,Authentifizierungsfehler,Authentifizierungsfehler
INVALID_CREDENTIAL,Falsche Eingabe,Falsche Eingabe
LOGIN,Anmeldung,Connexion
LOGOUT,Ausloggen, de deco
LOGIN_LABEL,reinkommen,Se connecter
EMAIL,Email,Email
LOST_PASSWORD,Passwort vergessen,Mot de passe perdu
PASSWORD,Passwort,Mot de passe
WELCOME_TO,Willkommen zu,Bienvenue sur
PROPULSED_BY,angetrieben von,Propulsé par
PERMISSIONS,Berechtigungen,Acl
LANG,Sprache,menu langue
TRAIN,Zug,lignes train idf
DATABASE,Datenbank,base de données
