langsrc,langdst,comment
HOME,Retour,Acl
AUTH_FAIL,Echec authentification,Echec authentification
INVALID_CREDENTIAL,Saisie incorrecte,Saisie incorrecte
LOGIN,Connexion,Connexion
LOGOUT,Déconnexion,Deco
LOGIN_LABEL,Se connecter,Se connecter
LOST_PASSWORD,Mot de passe perdu,Mot de passe perdu
EMAIL,Courriel,Email
PASSWORD,Mot de passe,Mot de passe
CHANGE_PASSWORD,Changer mot de passe,password change
WELCOME_TO,Bienvenue sur,Bienvenue sur
PROPULSED_BY,Propulsé par,Propulsé par
PERMISSIONS,Permissions,Acl
LANG,Langue,changer langue nav
TRAIN,lignes,lignes train idf
DATABASE,base de données,base de données
USER_ACOUNT_MANAGEMENT,Gestion des comptes utilisateur,user management title
USERS_EDIT_TITLE,Edition compte utilisateur,User edit title
USERS,Utilisateurs,Users
USER_SIGNIN,Utilisateurs,Users
SENSORS,Sondes,Capteurs
CRITERIAS,Critères,Critères
COLUMNS,Colonnes,Colonnes
