langsrc,langdst,comment
HOME,casa,Acl
AUTH_FAIL,autenticazione fallita,Authentifizierungsfehler
INVALID_CREDENTIAL,credenziali non valide,Falsche Eingabe
LOGIN,accesso,Connexion
LOGOUT,disconnettersi, de deco
LOGIN_LABEL,Entra,Se connecter
USERS,utenti,users
USERS_EDIT_TITLE,Modifica dell'account utente,User edit title
EMAIL,e-mail,Email
LOST_PASSWORD,Password dimenticata,Mot de passe perdu
PASSWORD,parola d'ordine,Mot de passe
CHANGE_PASSWORD,Cambio di password,password change
WELCOME_TO,benvenuto a zu,Bienvenue sur
PROPULSED_BY,propulso da,Propulsé par
PERMISSIONS,permessi,Acl
LANG,Lingua,menu langue
TRAIN,treno,lignes train idf
DATABASE,Banca dati,base de données
SENSORS,sensori,sensors
