langsrc,langdst,comment
HOME,casa,Acl
AUTH_FAIL,autenticação falhou,Fallo de autentificacion
INVALID_CREDENTIAL,credenciais inválidas,Entrada incorrecta
LOGIN,login,Connexion
LOGOUT,Sair, de deco
LOGIN_LABEL,entrar,Se connecter
EMAIL,correio eletrônico,Email
LOST_PASSWORD,senha perdida,Mot de passe perdu
PASSWORD,senha,Mot de passe
USERS,utenti,users
USERS_EDIT_TITLE,editar conta,User edit title
CHANGE_PASSWORD,mudar senha,password change
USER_ACOUNT_MANAGEMENT,gerente de contas,user management title
WELCOME_TO,bem vindo a,Bienvenue sur
PROPULSED_BY,impulsionado por,Propulsé par
PERMISSIONS,permissões,Acl
LANG,língua,menu langue
TRAIN,trem,lignes train idf
DATABASE,base de dados,base de données
SENSORS,sensores,sensors
