langsrc,langdst,comment
HOME,Главная,Acl
AUTH_FAIL,Ошибка аутентификации,Fallo de autentificacion
INVALID_CREDENTIAL,неправильный ввод,Entrada incorrecta
LOGIN,авторизоваться,Connexion
LOGOUT,выйти sesión, de deco
LOGIN_LABEL,соединять,Se connecter
EMAIL,Эл. адрес,Email
USERS,utenti,users
USERS_EDIT_TITLE,редактирование аккаунта,User edit title
CHANGE_PASSWORD,изменение пароля,password change
USERS,пользователи,users
USER_ACOUNT_MANAGEMENT,Управление пользователями,user management title
LOST_PASSWORD,потерянный пароль,Mot de passe perdu
PASSWORD,пароль,Mot de passe
WELCOME_TO,Добро пожаловать в,Bienvenue sur
PROPULSED_BY,движимый,Propulsé par
PERMISSIONS,разрешений,Acl
LANG,язык,menu langue
TRAIN,поезд,lignes train idf
DATABASE,база данных,base de données
SENSORS,датчиков,sensors
