langsrc,langdst,comment
HOME,家,home
AUTH_FAIL,验证失败,Fallo de autentificacion
INVALID_CREDENTIAL,无效证件,Entrada incorrecta
LOGIN,登录,Connexion
LOGOUT,登出, de deco
LOGIN_LABEL,进来,Se connecter
USERS,用户,users
USER_ACOUNT_MANAGEMENT,用户帐户管理,user management title
USERS_EDIT_TITLE,Edition compte utilisateur,User edit title
USER_SIGNIN,登入,Users
USER_SIGNUP,注册,Users
USER_EDIT_INTEG_ERROR,Vous ne pouvez pas modifier des informations qui ne vous appartiennent pas.,__USER_EDIT_INTEG_ERROR
USER_DETAIL_TITLE,Détail du compte utilisateur,__USER_DETAIL_TITLE
USER_EDIT_TITLE,用户帐户编辑,User edit title
USER_MESSAGE_REGISTRATION_SUCCESS,Inscription réussie,;
USER_MESSAGE_REGISTRATION_FAIL,Adresse email déjà utilisée,
USER_MESSAGE_DISCONECTED,Vous êtes déconnecté,
USER_MESSAGE_CONNECTED,Vous êtes connecté,
LOST_PASSWORD,忘记密码,Mot de passe perdu
EMAIL,电子邮件,Email
INCORRECT_EMAIL,不正确的电子邮件,Email
PASSWORD,密码,Mot de passe
CHANGE_PASSWORD,更改密码,password change
WELCOME_TO,欢迎来到,Bienvenue sur
PROPULSED_BY,推动,Propulsé par
PERMISSIONS,权限,Acl
LANG,语言,menu langue
TRAIN,火车,lignes train idf
DATABASE,数据库,base de données
SENSORS,传感器,Capteurs
CRITERIAS,标准,Critères
COLUMNS,列,Colonnes
CHOOSE_LANG,选择郎,Colonnes
